DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2020,73117.836,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2021,79230.116,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2022,78641.798,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Spain,2023,77647.905,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Finland,2014,23416.963,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Finland,2015,23049.777,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Finland,2016,24030.895,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Finland,2017,24677.948,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Finland,2018,25023.526,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Finland,2019,24828.655,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Finland,2020,23246.091,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Finland,2021,24805.313,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Finland,2022,23156.645,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Finland,2023,22450.838,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2014,138275.105,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2015,141562.881,
ESTAT:TEN00124(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,France,2016,144288.607,
