,vehicle,country,year,zero_emission_vehicles_percentage
494,Passenger cars,Portugal,2018,1.954
495,Passenger cars,Portugal,2019,3.075
496,Passenger cars,Portugal,2020,5.443
497,Passenger cars,Portugal,2021,9.239
498,Passenger cars,Portugal,2022,11.643
499,Passenger cars,Portugal,2023,18.206
500,Passenger cars,Romania,2014,0.024
501,Passenger cars,Romania,2015,0.034
502,Passenger cars,Romania,2016,0.072
503,Passenger cars,Romania,2017,0.217
504,Passenger cars,Romania,2018,0.461
505,Passenger cars,Romania,2019,0.932
506,Passenger cars,Romania,2020,2.251
507,Passenger cars,Romania,2021,5.233
508,Passenger cars,Romania,2022,8.999
509,Passenger cars,Romania,2023,10.626
510,Passenger cars,Sweden,2014,0.39
511,Passenger cars,Sweden,2015,0.806
512,Passenger cars,Sweden,2016,0.776
513,Passenger cars,Sweden,2017,1.113
514,Passenger cars,Sweden,2018,1.956
515,Passenger cars,Sweden,2019,4.304
516,Passenger cars,Sweden,2020,9.526
517,Passenger cars,Sweden,2021,18.955
518,Passenger cars,Sweden,2022,32.912
519,Passenger cars,Sweden,2023,38.629
520,Passenger cars,Slovenia,2014,0.024
